Ticker,Nome,Negócios,Última (R$),Variação,marketCap,marketCap_date
PETR3,Petrobras,12.797.400,"44,30","+1,82%",563748470784.0,17/02/2024
PETR4,Petrobras,37.186.100,"42,69","+0,92%",563747028992.0,17/02/2024
ITUB3,Itaú Unibanco,311.800,"29,73","+0,61%",313838796800.0,17/02/2024
ITUB4,Itaú Unibanco,22.821.200,"34,54","-0,12%",313837715456.0,17/02/2024
VALE3,Vale,40.732.600,"67,68","+3,31%",289956003840.0,17/02/2024
ABEV3,Ambev,20.983.400,"12,76","-0,70%",200962342912.0,17/02/2024
BPAC3,Banco BTG Pactual,3.200,"18,45","+1,88%",184476581888.0,17/02/2024
BPAC5,Banco BTG Pactual,27.600,"8,92","-2,62%",184476303360.0,17/02/2024
BBAS3,Banco do Brasil,9.489.500,"57,87","-0,84%",165151129600.0,17/02/2024
WEGE3,WEG,6.428.400,"33,40","+0,57%",140120686592.0,17/02/2024
BBDC4,Banco Bradesco,55.168.200,"13,48","+0,37%",137060597760.0,17/02/2024
BBDC3,Banco Bradesco,11.874.200,"12,28","+0,49%",137059524608.0,17/02/2024
SANB3,Banco Santander,78.800,"13,73","+2,77%",108586582016.0,17/02/2024
SANB4,Banco Santander,77.100,"15,41","+2,26%",108586557440.0,17/02/2024
ITSA4,Itaúsa,18.463.300,"10,46","+0,38%",107926282240.0,17/02/2024
ITSA3,Itaúsa,81.000,"10,43","+0,19%",107925471232.0,17/02/2024
ELET5,Eletrobras,200,"90,00","+0,00%",96836403200.0,17/02/2024
ELET3,Eletrobras,5.785.400,"42,50","-0,89%",96836255744.0,17/02/2024
ELET6,Eletrobras,938.200,"46,84","-0,59%",96836075520.0,17/02/2024
VIVT3,Vivo,2.341.400,"52,66","-2,54%",87024861184.0,17/02/2024
B3SA3,B3,66.926.100,"12,73","+0,32%",71221927936.0,17/02/2024
SUZB3,Suzano,3.225.000,"53,05","+1,36%",68230787072.0,17/02/2024
BBSE3,BB Seguridade,6.557.400,"32,66","-1,06%",64564576256.0,17/02/2024
RDOR3,Rede D'Or,3.450.300,"26,42","-0,45%",59580268544.0,17/02/2024
SBSP3,Sabesp,2.301.100,"81,44","+0,93%",55665057792.0,17/02/2024
RENT3,Localiza,6.151.000,"51,86","-0,52%",54904700928.0,17/02/2024
JBSS3,JBS,4.933.900,"22,45","-0,31%",49796792320.0,17/02/2024
RAIL3,Rumo,14.352.100,"23,43","-1,93%",43334021120.0,17/02/2024
RADL3,RaiaDrogasil,4.804.800,"25,24","-0,55%",43270950912.0,17/02/2024
TIMS3,TIM,12.070.700,"17,40","-3,81%",42118438912.0,17/02/2024
CXSE3,Caixa Seguridade,5.849.700,"13,83","+0,88%",41489997824.0,17/02/2024
CPFE3,CPFL Energia,962.200,"35,86","-0,61%",41319686144.0,17/02/2024
EQTL3,Equatorial Energia,5.271.600,"33,90","-0,94%",38174113792.0,17/02/2024
PRIO3,PetroRio,9.044.900,"45,40","+1,86%",38072123392.0,17/02/2024
GGBR3,Gerdau,40.800,"19,98","+2,88%",36368793600.0,17/02/2024
GGBR4,Gerdau,19.410.300,"21,21","+2,46%",36368785408.0,17/02/2024
CMIN3,CSN Mineração,6.076.600,"6,51","+1,72%",35709566976.0,17/02/2024
CSAN3,Cosan,6.291.500,"18,94","+1,94%",35362115584.0,17/02/2024
EGIE3,Engie,1.625.600,"40,76","-0,27%",33257224192.0,17/02/2024
UGPA3,Ultrapar,4.431.000,"29,83","+1,26%",32500082688.0,17/02/2024
CPLE5,Copel,300,"21,92","-1,31%",29251801088.0,17/02/2024
CPLE3,Copel,7.894.200,"9,25","+0,33%",29251737600.0,17/02/2024
CPLE6,Copel,9.541.100,"10,21","+0,20%",29251649536.0,17/02/2024
